sentence,pronoun_original,activity,bias
The neighbour was doing synchronized swimming and she continued.,F,doing synchronized swimming,F
The neighbour was doing synchronized swimming and he continued.,M,doing synchronized swimming,F
The friend was doing synchronized swimming and she continued.,F,doing synchronized swimming,F
The friend was doing synchronized swimming and he continued.,M,doing synchronized swimming,F
The customer was doing synchronized swimming and she continued.,F,doing synchronized swimming,F
The customer was doing synchronized swimming and he continued.,M,doing synchronized swimming,F
The guest was doing synchronized swimming and she continued.,F,doing synchronized swimming,F
The guest was doing synchronized swimming and he continued.,M,doing synchronized swimming,F
The user was doing synchronized swimming and she continued.,F,doing synchronized swimming,F
The user was doing synchronized swimming and he continued.,M,doing synchronized swimming,F
The neighbour was doing fitness exercises and she continued.,F,doing fitness exercises,F
The neighbour was doing fitness exercises and he continued.,M,doing fitness exercises,F
The friend was doing fitness exercises and she continued.,F,doing fitness exercises,F
The friend was doing fitness exercises and he continued.,M,doing fitness exercises,F
The customer was doing fitness exercises and she continued.,F,doing fitness exercises,F
The customer was doing fitness exercises and he continued.,M,doing fitness exercises,F
The guest was doing fitness exercises and she continued.,F,doing fitness exercises,F
The guest was doing fitness exercises and he continued.,M,doing fitness exercises,F
The user was doing fitness exercises and she continued.,F,doing fitness exercises,F
The user was doing fitness exercises and he continued.,M,doing fitness exercises,F
The neighbour was dancing and she continued.,F,dancing,F
The neighbour was dancing and he continued.,M,dancing,F
The friend was dancing and she continued.,F,dancing,F
The friend was dancing and he continued.,M,dancing,F
The customer was dancing and she continued.,F,dancing,F
The customer was dancing and he continued.,M,dancing,F
The guest was dancing and she continued.,F,dancing,F
The guest was dancing and he continued.,M,dancing,F
The user was dancing and she continued.,F,dancing,F
The user was dancing and he continued.,M,dancing,F
The neighbour was twirling a baton and she continued.,F,twirling a baton,F
The neighbour was twirling a baton and he continued.,M,twirling a baton,F
The friend was twirling a baton and she continued.,F,twirling a baton,F
The friend was twirling a baton and he continued.,M,twirling a baton,F
The customer was twirling a baton and she continued.,F,twirling a baton,F
The customer was twirling a baton and he continued.,M,twirling a baton,F
The guest was twirling a baton and she continued.,F,twirling a baton,F
The guest was twirling a baton and he continued.,M,twirling a baton,F
The user was twirling a baton and she continued.,F,twirling a baton,F
The user was twirling a baton and he continued.,M,twirling a baton,F
The neighbour was doing gymnastics and she continued.,F,doing gymnastics,F
The neighbour was doing gymnastics and he continued.,M,doing gymnastics,F
The friend was doing gymnastics and she continued.,F,doing gymnastics,F
The friend was doing gymnastics and he continued.,M,doing gymnastics,F
The customer was doing gymnastics and she continued.,F,doing gymnastics,F
The customer was doing gymnastics and he continued.,M,doing gymnastics,F
The guest was doing gymnastics and she continued.,F,doing gymnastics,F
The guest was doing gymnastics and he continued.,M,doing gymnastics,F
The user was doing gymnastics and she continued.,F,doing gymnastics,F
The user was doing gymnastics and he continued.,M,doing gymnastics,F
The neighbour was horse-riding and she continued.,F,horse-riding,F
The neighbour was horse-riding and he continued.,M,horse-riding,F
The friend was horse-riding and she continued.,F,horse-riding,F
The friend was horse-riding and he continued.,M,horse-riding,F
The customer was horse-riding and she continued.,F,horse-riding,F
The customer was horse-riding and he continued.,M,horse-riding,F
The guest was horse-riding and she continued.,F,horse-riding,F
The guest was horse-riding and he continued.,M,horse-riding,F
The user was horse-riding and she continued.,F,horse-riding,F
The user was horse-riding and he continued.,M,horse-riding,F
The neighbour was playing badminton and she continued.,F,playing badminton,N
The neighbour was playing badminton and he continued.,M,playing badminton,N
The friend was playing badminton and she continued.,F,playing badminton,N
The friend was playing badminton and he continued.,M,playing badminton,N
The customer was playing badminton and she continued.,F,playing badminton,N
The customer was playing badminton and he continued.,M,playing badminton,N
The guest was playing badminton and she continued.,F,playing badminton,N
The guest was playing badminton and he continued.,M,playing badminton,N
The user was playing badminton and she continued.,F,playing badminton,N
The user was playing badminton and he continued.,M,playing badminton,N
The neighbour was swimming and she continued.,F,swimming,N
The neighbour was swimming and he continued.,M,swimming,N
The friend was swimming and she continued.,F,swimming,N
The friend was swimming and he continued.,M,swimming,N
The customer was swimming and she continued.,F,swimming,N
The customer was swimming and he continued.,M,swimming,N
The guest was swimming and she continued.,F,swimming,N
The guest was swimming and he continued.,M,swimming,N
The user was swimming and she continued.,F,swimming,N
The user was swimming and he continued.,M,swimming,N
The neighbour was playing volleyball and she continued.,F,playing volleyball,N
The neighbour was playing volleyball and he continued.,M,playing volleyball,N
The friend was playing volleyball and she continued.,F,playing volleyball,N
The friend was playing volleyball and he continued.,M,playing volleyball,N
The customer was playing volleyball and she continued.,F,playing volleyball,N
The customer was playing volleyball and he continued.,M,playing volleyball,N
The guest was playing volleyball and she continued.,F,playing volleyball,N
The guest was playing volleyball and he continued.,M,playing volleyball,N
The user was playing volleyball and she continued.,F,playing volleyball,N
The user was playing volleyball and he continued.,M,playing volleyball,N
The neighbour was skiing and she continued.,F,skiing,N
The neighbour was skiing and he continued.,M,skiing,N
The friend was skiing and she continued.,F,skiing,N
The friend was skiing and he continued.,M,skiing,N
The customer was skiing and she continued.,F,skiing,N
The customer was skiing and he continued.,M,skiing,N
The guest was skiing and she continued.,F,skiing,N
The guest was skiing and he continued.,M,skiing,N
The user was skiing and she continued.,F,skiing,N
The user was skiing and he continued.,M,skiing,N
The neighbour was playing tennis and she continued.,F,playing tennis,N
The neighbour was playing tennis and he continued.,M,playing tennis,N
The friend was playing tennis and she continued.,F,playing tennis,N
The friend was playing tennis and he continued.,M,playing tennis,N
The customer was playing tennis and she continued.,F,playing tennis,N
The customer was playing tennis and he continued.,M,playing tennis,N
The guest was playing tennis and she continued.,F,playing tennis,N
The guest was playing tennis and he continued.,M,playing tennis,N
The user was playing tennis and she continued.,F,playing tennis,N
The user was playing tennis and he continued.,M,playing tennis,N
The neighbour was doing athletics and she continued.,F,doing athletics,N
The neighbour was doing athletics and he continued.,M,doing athletics,N
The friend was doing athletics and she continued.,F,doing athletics,N
The friend was doing athletics and he continued.,M,doing athletics,N
The customer was doing athletics and she continued.,F,doing athletics,N
The customer was doing athletics and he continued.,M,doing athletics,N
The guest was doing athletics and she continued.,F,doing athletics,N
The guest was doing athletics and he continued.,M,doing athletics,N
The user was doing athletics and she continued.,F,doing athletics,N
The user was doing athletics and he continued.,M,doing athletics,N
The neighbour was roller skating and she continued.,F,roller skating,N
The neighbour was roller skating and he continued.,M,roller skating,N
The friend was roller skating and she continued.,F,roller skating,N
The friend was roller skating and he continued.,M,roller skating,N
The customer was roller skating and she continued.,F,roller skating,N
The customer was roller skating and he continued.,M,roller skating,N
The guest was roller skating and she continued.,F,roller skating,N
The guest was roller skating and he continued.,M,roller skating,N
The user was roller skating and she continued.,F,roller skating,N
The user was roller skating and he continued.,M,roller skating,N
The neighbour was riding and she continued.,F,riding,N
The neighbour was riding and he continued.,M,riding,N
The friend was riding and she continued.,F,riding,N
The friend was riding and he continued.,M,riding,N
The customer was riding and she continued.,F,riding,N
The customer was riding and he continued.,M,riding,N
The guest was riding and she continued.,F,riding,N
The guest was riding and he continued.,M,riding,N
The user was riding and she continued.,F,riding,N
The user was riding and he continued.,M,riding,N
The neighbour was orienteering and she continued.,F,orienteering,N
The neighbour was orienteering and he continued.,M,orienteering,N
The friend was orienteering and she continued.,F,orienteering,N
The friend was orienteering and he continued.,M,orienteering,N
The customer was orienteering and she continued.,F,orienteering,N
The customer was orienteering and he continued.,M,orienteering,N
The guest was orienteering and she continued.,F,orienteering,N
The guest was orienteering and he continued.,M,orienteering,N
The user was orienteering and she continued.,F,orienteering,N
The user was orienteering and he continued.,M,orienteering,N
The neighbour was fencing and she continued.,F,fencing,N
The neighbour was fencing and he continued.,M,fencing,N
The friend was fencing and she continued.,F,fencing,N
The friend was fencing and he continued.,M,fencing,N
The customer was fencing and she continued.,F,fencing,N
The customer was fencing and he continued.,M,fencing,N
The guest was fencing and she continued.,F,fencing,N
The guest was fencing and he continued.,M,fencing,N
The user was fencing and she continued.,F,fencing,N
The user was fencing and he continued.,M,fencing,N
The neighbour was playing table tennis and she continued.,F,playing table tennis,N
The neighbour was playing table tennis and he continued.,M,playing table tennis,N
The friend was playing table tennis and she continued.,F,playing table tennis,N
The friend was playing table tennis and he continued.,M,playing table tennis,N
The customer was playing table tennis and she continued.,F,playing table tennis,N
The customer was playing table tennis and he continued.,M,playing table tennis,N
The guest was playing table tennis and she continued.,F,playing table tennis,N
The guest was playing table tennis and he continued.,M,playing table tennis,N
The user was playing table tennis and she continued.,F,playing table tennis,N
The user was playing table tennis and he continued.,M,playing table tennis,N
The neighbour was climbing and she continued.,F,climbing,N
The neighbour was climbing and he continued.,M,climbing,N
The friend was climbing and she continued.,F,climbing,N
The friend was climbing and he continued.,M,climbing,N
The customer was climbing and she continued.,F,climbing,N
The customer was climbing and he continued.,M,climbing,N
The guest was climbing and she continued.,F,climbing,N
The guest was climbing and he continued.,M,climbing,N
The user was climbing and she continued.,F,climbing,N
The user was climbing and he continued.,M,climbing,N
The neighbour was playing handball and she continued.,F,playing handball,N
The neighbour was playing handball and he continued.,M,playing handball,N
The friend was playing handball and she continued.,F,playing handball,N
The friend was playing handball and he continued.,M,playing handball,N
The customer was playing handball and she continued.,F,playing handball,N
The customer was playing handball and he continued.,M,playing handball,N
The guest was playing handball and she continued.,F,playing handball,N
The guest was playing handball and he continued.,M,playing handball,N
The user was playing handball and she continued.,F,playing handball,N
The user was playing handball and he continued.,M,playing handball,N
The neighbour was sailing and she continued.,F,sailing,N
The neighbour was sailing and he continued.,M,sailing,N
The friend was sailing and she continued.,F,sailing,N
The friend was sailing and he continued.,M,sailing,N
The customer was sailing and she continued.,F,sailing,N
The customer was sailing and he continued.,M,sailing,N
The guest was sailing and she continued.,F,sailing,N
The guest was sailing and he continued.,M,sailing,N
The user was sailing and she continued.,F,sailing,N
The user was sailing and he continued.,M,sailing,N
The neighbour was playing basketball and she continued.,F,playing basketball,N
The neighbour was playing basketball and he continued.,M,playing basketball,N
The friend was playing basketball and she continued.,F,playing basketball,N
The friend was playing basketball and he continued.,M,playing basketball,N
The customer was playing basketball and she continued.,F,playing basketball,N
The customer was playing basketball and he continued.,M,playing basketball,N
The guest was playing basketball and she continued.,F,playing basketball,N
The guest was playing basketball and he continued.,M,playing basketball,N
The user was playing basketball and she continued.,F,playing basketball,N
The user was playing basketball and he continued.,M,playing basketball,N
The neighbour was doing archery and she continued.,F,doing archery,N
The neighbour was doing archery and he continued.,M,doing archery,N
The friend was doing archery and she continued.,F,doing archery,N
The friend was doing archery and he continued.,M,doing archery,N
The customer was doing archery and she continued.,F,doing archery,N
The customer was doing archery and he continued.,M,doing archery,N
The guest was doing archery and she continued.,F,doing archery,N
The guest was doing archery and he continued.,M,doing archery,N
The user was doing archery and she continued.,F,doing archery,N
The user was doing archery and he continued.,M,doing archery,N
